"number","title","pageid","namespace","length","touched"
"119","Kniha","19034","","15586","20230708122819"
"120","Průmysl_podle_zemí","1229492","Category","174","20230414221158"
"121","Cechy","984222","Category","186","20220921162554"
"122","Kuželovitost","1055575","","2463","20190523050938"
"123","Technické_vědy","1663194","Category","86","20210225030756"
"124","Zrušené_sportovní_události","1771033","Category","100","20220707152958"
"125","Nekonvenční_dráhy","133617","Category","84","20130402172217"
"126","Ventily","61453","Category","130","20210225020756"
"127","Propustek","488125","","2951","20230523042920"
"128","Živnosti_řemeslné","1209563","Category","101","20180414210918"
"129","Džidóka","565073","","1240","20210806070838"
"130","Mlékárenství","1310181","Category","109","20210224230836"
"131","Kolejnice","6508","","12179","20210719080641"
"132","Číšník","581202","","2494","20230506083852"
"133","Kovářství","1209569","Category","121","20210514143506"
"134","Farmaceutická_technologie","1580524","","2036","20200330213301"
"135","Koželužny_ve_Fesu","1677336","","4713","20220405202047"
"136","Izoforming","226611","","696","20151212184125"
"137","Plynová_komora","116316","","7215","20230310214839"
"138","Technofobie","1115187","","1390","20210808174655"
"139","Axmanova_technika_modelování","720244","","2668","20210202055341"
"140","Fotografie","19303","Category","136","20230414222903"
"141","Reindustrializace","1648953","","4607","20221105152211"
"142","Mlžení","368185","","648","20220522134513"
"143","Točna","49786","","1296","20210513032808"
"144","Plotr","4048","","9491","20220805095141"
"145","Technické_rekordy","1360820","Category","61","20180201084657"
"146","Infrastruktura","1568052","Category","143","20210224220012"
"147","Tolerance_(technika)","1245749","","3492","20210809154651"
"148","Pohotovostní_hmotnost_vozidla","392036","","2086","20230605152224"
"149","Disruptivní_inovace","995309","","2433","20210806063151"
"150","Smalt","83964","","7297","20230321074656"
"151","Pneumatika_(obor)","964053","","546","20210606152029"
"152","Podbíječka","43206","","2022","20181102202234"
"153","Koněspřežná_dráha","291547","Category","298","20210908120519"
"154","Suchá_hmotnost_vozidla","915592","","1498","20221228141304"
"155","Skoba","409090","","2064","20210514064040"
"156","Patník","233403","","4536","20220622124003"
